Sector,Category,SubCategory,Scenario_Name,Description,Current_Spend_USD,Projected_Savings_Pct,Projected_Savings_USD,Risk_Reduction_Pct,Implementation_Complexity,Timeline_Months
Construction & Real Estate,Building Materials,Cement,Aggressive Diversification,Reduce top supplier share to <30%,18205600,15,2730840.0,25,High,6
Construction & Real Estate,Building Materials,Cement,Moderate Diversification,Reduce top supplier share to <40%,18205600,10,1820560.0,15,Low,8
Construction & Real Estate,Building Materials,Cement,Regional Expansion,Add Africa/Middle East suppliers,18205600,12,2184672.0,20,Medium,4
Construction & Real Estate,Building Materials,Cement,Cost Optimization,Shift 20% spend to low-cost regions,18205600,8,1456448.0,12,Medium,7
Construction & Real Estate,Building Materials,Cement,Risk Mitigation,Dual-source all critical categories,18205600,5,910280.0,18,High,7
Construction & Real Estate,Building Materials,Concrete,Aggressive Diversification,Reduce top supplier share to <30%,14236000,15,2135400.0,25,Low,11
Construction & Real Estate,Building Materials,Concrete,Moderate Diversification,Reduce top supplier share to <40%,14236000,10,1423600.0,15,Medium,11
Construction & Real Estate,Building Materials,Concrete,Regional Expansion,Add Africa/Middle East suppliers,14236000,12,1708320.0,20,High,10
Construction & Real Estate,Building Materials,Concrete,Cost Optimization,Shift 20% spend to low-cost regions,14236000,8,1138880.0,12,Medium,3
Construction & Real Estate,Building Materials,Concrete,Risk Mitigation,Dual-source all critical categories,14236000,5,711800.0,18,Medium,6
Construction & Real Estate,Building Materials,Glass,Aggressive Diversification,Reduce top supplier share to <30%,14154600,15,2123190.0,25,Medium,11
Construction & Real Estate,Building Materials,Glass,Moderate Diversification,Reduce top supplier share to <40%,14154600,10,1415460.0,15,Low,4
Construction & Real Estate,Building Materials,Glass,Regional Expansion,Add Africa/Middle East suppliers,14154600,12,1698552.0,20,Low,11
Construction & Real Estate,Building Materials,Glass,Cost Optimization,Shift 20% spend to low-cost regions,14154600,8,1132368.0,12,High,3
Construction & Real Estate,Building Materials,Glass,Risk Mitigation,Dual-source all critical categories,14154600,5,707730.0,18,High,4
Construction & Real Estate,Building Materials,Lumber,Aggressive Diversification,Reduce top supplier share to <30%,20785600,15,3117840.0,25,Low,6
