Sector_ID,Sector_Name,Category_ID,Category_Name,SubCategory_ID,SubCategory_Name,Description,Risk_Profile,Strategic_Importance
SEC001,Food & Beverages,CAT001,Edible Oils,SUB001,Rice Bran Oil,Heart-healthy cooking oil extracted from rice bran,HIGH,CRITICAL
SEC001,Food & Beverages,CAT001,Edible Oils,SUB002,Sunflower Oil,Light neutral cooking oil from sunflower seeds,MEDIUM,HIGH
SEC001,Food & Beverages,CAT001,Edible Oils,SUB003,Palm Oil,Versatile oil for food processing and cosmetics,HIGH,CRITICAL
SEC001,Food & Beverages,CAT001,Edible Oils,SUB004,Olive Oil,Premium Mediterranean cooking and finishing oil,LOW,MEDIUM
SEC001,Food & Beverages,CAT001,Edible Oils,SUB005,Soybean Oil,Cost-effective oil for large-scale food production,MEDIUM,HIGH
SEC001,Food & Beverages,CAT001,Edible Oils,SUB006,Canola Oil,Low saturated fat cooking oil,MEDIUM,MEDIUM
SEC001,Food & Beverages,CAT001,Edible Oils,SUB007,Coconut Oil,Tropical oil for cooking and personal care,MEDIUM,MEDIUM
SEC001,Food & Beverages,CAT001,Edible Oils,SUB008,Peanut Oil,High smoke point oil for frying,LOW,LOW
SEC001,Food & Beverages,CAT002,Grains & Cereals,SUB009,Wheat,Primary grain for flour and bread production,HIGH,CRITICAL
SEC001,Food & Beverages,CAT002,Grains & Cereals,SUB010,Rice,Staple grain for global consumption,HIGH,CRITICAL
SEC001,Food & Beverages,CAT002,Grains & Cereals,SUB011,Corn/Maize,Versatile grain for food and industrial use,MEDIUM,HIGH
SEC001,Food & Beverages,CAT002,Grains & Cereals,SUB012,Barley,Grain for beverages and animal feed,LOW,MEDIUM
SEC001,Food & Beverages,CAT002,Grains & Cereals,SUB013,Oats,Health-focused grain for breakfast products,LOW,MEDIUM
SEC001,Food & Beverages,CAT003,Proteins,SUB014,Poultry,Chicken and turkey meat products,HIGH,CRITICAL
SEC001,Food & Beverages,CAT003,Proteins,SUB015,Beef,Cattle meat products,HIGH,HIGH
SEC001,Food & Beverages,CAT003,Proteins,SUB016,Pork,Swine meat products,MEDIUM,HIGH
SEC001,Food & Beverages,CAT003,Proteins,SUB017,Seafood,Fish and shellfish products,HIGH,HIGH
SEC001,Food & Beverages,CAT003,Proteins,SUB018,Plant-Based Proteins,Alternative meat products,LOW,MEDIUM
SEC001,Food & Beverages,CAT004,Dairy Products,SUB019,Milk & Cream,Fresh dairy products,HIGH,CRITICAL
SEC001,Food & Beverages,CAT004,Dairy Products,SUB020,Cheese,Processed dairy products,MEDIUM,HIGH
SEC001,Food & Beverages,CAT004,Dairy Products,SUB021,Butter,Dairy fat products,MEDIUM,MEDIUM
SEC001,Food & Beverages,CAT004,Dairy Products,SUB022,Yogurt,Cultured dairy products,MEDIUM,MEDIUM
SEC001,Food & Beverages,CAT005,Sweeteners,SUB023,Sugar,Refined cane and beet sugar,HIGH,CRITICAL
SEC001,Food & Beverages,CAT005,Sweeteners,SUB024,High Fructose Corn Syrup,Industrial sweetener,MEDIUM,HIGH
SEC001,Food & Beverages,CAT005,Sweeteners,SUB025,Honey,Natural sweetener,LOW,LOW
SEC001,Food & Beverages,CAT005,Sweeteners,SUB026,Artificial Sweeteners,Zero-calorie sweeteners,LOW,MEDIUM
SEC001,Food & Beverages,CAT006,Beverages,SUB027,Coffee,Roasted coffee beans and instant coffee,HIGH,CRITICAL
SEC001,Food & Beverages,CAT006,Beverages,SUB028,Tea,Processed tea leaves,MEDIUM,HIGH
SEC001,Food & Beverages,CAT006,Beverages,SUB029,Fruit Juices,Processed fruit beverages,MEDIUM,MEDIUM
SEC001,Food & Beverages,CAT006,Beverages,SUB030,Soft Drink Concentrates,Carbonated beverage ingredients,MEDIUM,HIGH
